id,Color
274,1
267,1
260,1
253,1
246,1
239,1
232,1
223,1
214,1
203,1
202,1
192,1
181,1
170,1
147,1
122,1
277,1
276,1
215,2
199,1
198,1
195,1
171,2
275,2
272,2
271,2
266,3
265,1
259,3
254,3
248,3
247,2
242,1
241,1
236,1
235,3
230,2
229,2
228,2
227,3
226,3
201,3
200,3
273,1
270,3
269,3
268,2
264,3
263,4
262,3
261,4
258,4
257,3
256,3
255,4
252,1
251,4
250,4
249,3
245,3
244,1
243,3
240,4
238,3
237,4
234,4
233,4
225,1
224,3
221,3
213,3
212,4
211,2
210,3
209,3
208,3
207,3
206,3
205,3
204,4
196,3
154,3
153,4
152,3
151,2
150,2
149,3
148,3
146,4
145,2
144,1
143,2
142,3
141,3
140,2
139,1
138,3
137,2
136,3
135,3
134,4
133,1
132,3
131,2
130,4
129,2
128,2
127,2
126,3
125,3
124,1
123,3
28,2
27,1
26,1
25,2
231,4
222,4
220,3
219,4
218,4
217,2
216,3
197,3
168,1
167,4
166,4
165,3
164,2
163,4
162,3
161,4
160,4
159,4
158,4
157,2
156,1
155,1
35,4
33,2
32,3
31,1
30,5
29,2
194,3
44,5
43,2
42,5
41,3
40,4
39,2
38,3
37,3
36,1
34,2
190,4
188,4
187,3
186,4
183,3
114,2
113,4
112,4
111,3
110,4
109,4
108,1
107,2
106,4
105,3
104,5
103,5
102,5
101,5
60,1
55,5
49,3
48,1
47,4
46,4
45,2
24,2
23,1
193,4
191,3
189,4
185,4
169,4
118,3
117,5
116,2
115,4
74,5
62,3
61,3
59,2
58,2
57,3
56,1
54,1
53,2
52,4
51,3
50,4
182,3
179,4
178,4
177,4
176,3
175,4
174,4
173,4
172,4
119,4
72,1
69,3
68,3
66,4
65,1
64,3
63,1
184,4
180,4
121,1
120,5
85,1
84,2
79,1
78,2
77,4
76,4
75,4
73,4
71,3
70,2
67,4
21,2
86,3
83,3
82,2
81,3
80,3
20,2
14,1
96,1
93,2
92,2
91,3
90,1
89,2
88,1
87,1
19,2
17,3
16,2
15,3
13,1
98,3
97,2
95,1
94,1
18,3
12,3
11,1
100,2
99,1
22,1
9,2
10,1
7,1
8,1
6,3
1,2
5,2
4,2
3,1
2,1
